ano,mes,sigla_uf,tipo_consumo,consumo,data
2015,3,CE,Residencial,313860,2015-03-01
2015,3,CE,Total,901727,2015-03-01
2015,3,CE,Cativo,795988,2015-03-01
2015,3,CE,Outros,210373,2015-03-01
2015,3,MA,Total,686420,2015-03-01
2015,3,MA,Outros,98939,2015-03-01
2015,3,MA,Cativo,455444,2015-03-01
2015,3,MA,Industrial,263118,2015-03-01
2015,3,MA,Comercial,97585,2015-03-01
2015,3,MA,Residencial,226778,2015-03-01
2015,3,PB,Total,449463,2015-03-01
2015,3,PB,Outros,87066,2015-03-01
2015,3,PB,Industrial,126912,2015-03-01
2015,3,PB,Residencial,154323,2015-03-01
2015,3,PB,Cativo,382047,2015-03-01
2015,3,PB,Comercial,81162,2015-03-01
2015,3,PE,Residencial,420184,2015-03-01
2015,3,PE,Cativo,996460,2015-03-01
2015,3,PE,Comercial,245745,2015-03-01
2015,3,PE,Industrial,326977,2015-03-01
2015,3,PE,Outros,202557,2015-03-01
2015,3,PE,Total,1195463,2015-03-01
2015,3,PI,Comercial,55106,2015-03-01
2015,3,PI,Outros,54953,2015-03-01
2015,3,PI,Industrial,22350,2015-03-01
2015,3,PI,Cativo,246457,2015-03-01
2015,3,PI,Residencial,120620,2015-03-01
2015,3,PI,Total,253029,2015-03-01
2015,3,RN,Comercial,93705,2015-03-01
2015,3,RN,Outros,92898,2015-03-01
2015,3,RN,Total,465932,2015-03-01
2015,3,RN,Cativo,391045,2015-03-01
2015,3,RN,Residencial,167911,2015-03-01
2015,3,RN,Industrial,111418,2015-03-01
2015,3,SE,Total,345076,2015-03-01
2015,3,SE,Comercial,53571,2015-03-01
2015,3,SE,Industrial,136997,2015-03-01
2015,3,SE,Outros,61491,2015-03-01
2015,3,SE,Cativo,243036,2015-03-01
2015,3,SE,Residencial,93017,2015-03-01
2015,4,AL,Comercial,69845,2015-04-01
2015,4,AL,Total,427810,2015-04-01
2015,4,AL,Cativo,411789,2015-04-01
2015,4,AL,Outros,68977,2015-04-01
2015,4,AL,Industrial,159731,2015-04-01
2015,4,AL,Residencial,129257,2015-04-01
2015,4,BA,Total,2077299,2015-04-01
2015,4,BA,Comercial,318764,2015-04-01
2015,4,BA,Outros,349334,2015-04-01
2015,4,BA,Industrial,814205,2015-04-01
2015,4,BA,Residencial,594996,2015-04-01
2015,4,BA,Cativo,1861501,2015-04-01
2015,4,CE,Comercial,180580,2015-04-01
2015,4,CE,Outros,206581,2015-04-01
2015,4,CE,Cativo,802910,2015-04-01
2015,4,CE,Total,904228,2015-04-01
2015,4,CE,Industrial,198285,2015-04-01
2015,4,CE,Residencial,318782,2015-04-01
2015,4,MA,Residencial,222998,2015-04-01
2015,4,MA,Cativo,446789,2015-04-01
2015,4,MA,Industrial,164384,2015-04-01
2015,4,MA,Total,581368,2015-04-01
2015,4,MA,Outros,97164,2015-04-01
2015,4,MA,Comercial,96822,2015-04-01
2015,4,PB,Comercial,78984,2015-04-01
2015,4,PB,Total,441425,2015-04-01
2015,4,PB,Cativo,369516,2015-04-01
2015,4,PB,Outros,84599,2015-04-01
2015,4,PB,Industrial,126593,2015-04-01
2015,4,PB,Residencial,151249,2015-04-01
2015,4,PE,Total,1190399,2015-04-01
2015,4,PE,Comercial,249196,2015-04-01
2015,4,PE,Outros,203800,2015-04-01
2015,4,PE,Industrial,311400,2015-04-01
2015,4,PE,Cativo,999903,2015-04-01
2015,4,PE,Residencial,426003,2015-04-01
2015,4,PI,Outros,53232,2015-04-01
2015,4,PI,Total,251851,2015-04-01
2015,4,PI,Residencial,122610,2015-04-01
