ano,mes,regiao,tipo_consumo,consumo,data
2015,4,Norte,Residencial,675513,2015-04-01
2015,4,Norte,Total,2646878,2015-04-01
2015,4,Sudeste,Cativo,13878041,2015-04-01
2015,4,Sudeste,Comercial,4326175,2015-04-01
2015,4,Sudeste,Industrial,7917887,2015-04-01
2015,4,Sudeste,Outros,2555420,2015-04-01
2015,4,Sudeste,Residencial,5415655,2015-04-01
2015,4,Sudeste,Total,20215137,2015-04-01
2015,4,Sul,Cativo,5850967,2015-04-01
2015,4,Sul,Comercial,1378983,2015-04-01
2015,4,Sul,Industrial,2758168,2015-04-01
2015,4,Sul,Outros,1374565,2015-04-01
2015,4,Sul,Residencial,1724335,2015-04-01
2015,4,Sul,Total,7236051,2015-04-01
2015,5,Centro-Oeste,Cativo,2397238,2015-05-01
2015,5,Centro-Oeste,Comercial,599558,2015-05-01
2015,5,Centro-Oeste,Industrial,742489,2015-05-01
2015,5,Centro-Oeste,Outros,629224,2015-05-01
2015,5,Centro-Oeste,Residencial,878861,2015-05-01
2015,5,Centro-Oeste,Total,2850132,2015-05-01
2015,5,Nordeste,Cativo,5814433,2015-05-01
2015,5,Nordeste,Comercial,1196284,2015-05-01
2015,5,Nordeste,Industrial,2016991,2015-05-01
2015,5,Nordeste,Outros,1222318,2015-05-01
2015,5,Nordeste,Residencial,2218162,2015-05-01
2015,5,Nordeste,Total,6653755,2015-05-01
2015,5,Norte,Cativo,1769125,2015-05-01
2015,5,Norte,Comercial,385433,2015-05-01
2015,5,Norte,Industrial,1255339,2015-05-01
2015,5,Norte,Outros,398107,2015-05-01
2015,5,Norte,Residencial,679533,2015-05-01
2015,5,Norte,Total,2718412,2015-05-01
2015,5,Sudeste,Cativo,13127743,2015-05-01
2015,5,Sudeste,Comercial,3979116,2015-05-01
2015,5,Sudeste,Industrial,7666693,2015-05-01
2015,5,Sudeste,Outros,2474148,2015-05-01
2015,5,Sudeste,Residencial,5176493,2015-05-01
2015,5,Sudeste,Total,19296450,2015-05-01
2015,5,Sul,Cativo,5320520,2015-05-01
2015,5,Sul,Comercial,1203345,2015-05-01
2015,5,Sul,Industrial,2648654,2015-05-01
2015,5,Sul,Outros,1242875,2015-05-01
2015,5,Sul,Residencial,1588736,2015-05-01
2015,5,Sul,Total,6683610,2015-05-01
2015,6,Centro-Oeste,Cativo,2363751,2015-06-01
2015,6,Centro-Oeste,Comercial,571174,2015-06-01
2015,6,Centro-Oeste,Industrial,728993,2015-06-01
2015,6,Centro-Oeste,Outros,664000,2015-06-01
2015,6,Centro-Oeste,Residencial,850268,2015-06-01
2015,6,Centro-Oeste,Total,2814435,2015-06-01
2015,6,Nordeste,Cativo,5634716,2015-06-01
2015,6,Nordeste,Comercial,1135185,2015-06-01
2015,6,Nordeste,Industrial,1969210,2015-06-01
2015,6,Nordeste,Outros,1210499,2015-06-01
2015,6,Nordeste,Residencial,2120820,2015-06-01
2015,6,Nordeste,Total,6435715,2015-06-01
2015,6,Norte,Cativo,1773144,2015-06-01
2015,6,Norte,Comercial,389646,2015-06-01
2015,6,Norte,Industrial,1216684,2015-06-01
2015,6,Norte,Outros,391503,2015-06-01
2015,6,Norte,Residencial,695205,2015-06-01
2015,6,Norte,Total,2693038,2015-06-01
2015,6,Sudeste,Cativo,12621888,2015-06-01
2015,6,Sudeste,Comercial,3802300,2015-06-01
2015,6,Sudeste,Industrial,7623855,2015-06-01
2015,6,Sudeste,Outros,2473590,2015-06-01
2015,6,Sudeste,Residencial,4852845,2015-06-01
2015,6,Sudeste,Total,18752590,2015-06-01
2015,6,Sul,Cativo,5245462,2015-06-01
2015,6,Sul,Comercial,1174355,2015-06-01
2015,6,Sul,Industrial,2637245,2015-06-01
2015,6,Sul,Outros,1162576,2015-06-01
2015,6,Sul,Residencial,1593710,2015-06-01
2015,6,Sul,Total,6567886,2015-06-01
2015,7,Centro-Oeste,Cativo,2338748,2015-07-01
2015,7,Centro-Oeste,Comercial,560693,2015-07-01
2015,7,Centro-Oeste,Industrial,740471,2015-07-01
2015,7,Centro-Oeste,Outros,667049,2015-07-01
2015,7,Centro-Oeste,Residencial,819639,2015-07-01
2015,7,Centro-Oeste,Total,2787852,2015-07-01
2015,7,Nordeste,Cativo,5305169,2015-07-01
2015,7,Nordeste,Comercial,1083527,2015-07-01
2015,7,Nordeste,Industrial,1929690,2015-07-01
2015,7,Nordeste,Outros,1177045,2015-07-01
2015,7,Nordeste,Residencial,2025226,2015-07-01
2015,7,Nordeste,Total,6215489,2015-07-01
2015,7,Norte,Cativo,1883146,2015-07-01
2015,7,Norte,Comercial,416243,2015-07-01
2015,7,Norte,Industrial,1269982,2015-07-01
2015,7,Norte,Outros,400938,2015-07-01
2015,7,Norte,Residencial,746477,2015-07-01
2015,7,Norte,Total,2833640,2015-07-01
2015,7,Sudeste,Cativo,12562427,2015-07-01
2015,7,Sudeste,Comercial,3661598,2015-07-01
2015,7,Sudeste,Industrial,7453325,2015-07-01
2015,7,Sudeste,Outros,2504276,2015-07-01
2015,7,Sudeste,Residencial,4913722,2015-07-01
2015,7,Sudeste,Total,18532921,2015-07-01
2015,7,Sul,Cativo,5169535,2015-07-01
2015,7,Sul,Comercial,1116501,2015-07-01
2015,7,Sul,Industrial,2559948,2015-07-01
2015,7,Sul,Outros,1164403,2015-07-01
2015,7,Sul,Residencial,1605688,2015-07-01
